Description,Part Reference,Qty,Part Num,Manufacturer / Datasheet,Distributor,Notes,,,
8-pin DIP socket,IC2*,1,,AMP http://catalog.tycoelectronics.com/TE/bin/TE.Connect?C=1&M=BYPN&PN=390261-2&I=13,390261-2 (Any 8 pin socket will do),http://www.mouser.com/search/ProductDetail.aspx?R=390261-2virtualkey57100000virtualkey571-3902612,,,
1/4 stereo jack,MIXOUT MIXIN HEADPHONE,3,,Neutrik http://www.neutrik.com/content/products/detail.aspx?id=210_980737404&catId=CatMSDE_audio,NYS216,http://www.mouser.com/search/ProductDetail.aspx?R=NYS216virtualkey56810000virtualkey568-NYS216,http://alliedelec.com/Search/ProductDetail.asp?SKU=514-8640&MPN=NYS216,,
1/8 jack,CV GATE,2,,CUI http://www.cui.com/pdffiles/MJ-3536N.pdf,MJ-CP3536N,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=CP-3536N-ND,,,
2.1mm power jack Power input,POWER,1,,CUI http://www.cui.com/pdffiles/PJ-202AH.pdf,PJ-202AH,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=CP-202AH-ND,,,
USB type-B jack USB communication,USB,1,,Kobiconn http://www.mouser.com/catalog/specsheets/KC-301021.pdf,154-2442-E (Any USB type-B through hole jack is OK),http://www.mouser.com/search/ProductDetail.aspx?R=154-2442-Evirtualkey11180000virtualkey154-2442-E,,,
MIDI/DINSYNC jack MIDI In/Out/Thru and DINSYNC,DIN1 DIN2 DIN3 DIN4,4,,CUI http://www.cui.com/pdffiles/SDS-50J.pdf,SDS-50J (Nearly any MIDI jack is OK as long as the front pins match),http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=CP-2350-ND,,,
Toggle switch Waveform saw/square selection,SW1,1,,NKK http://www.nkkswitches.com/pdf/Btoggles.pdf,B12AB-RO,http://www.mouser.com/search/ProductDetail.aspx?R=B12AB-ROvirtualkey63300000virtualkey633-B12AB-RO,,,
Rotary encoder Tempo adjustment,S2,1,CTS 290VAA5F201B2,,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=CT3011-ND,Digikey,,,
16 position rotary switch Bank and Mode selection,S3 S4,2,25LB22-H,Grayhill http://lgrws01.grayhill.com/web/images/ProductImages/Series%2025L%20Encoder.pdf,,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=GH3074-ND,Digikey http://www.newark.com/jsp/displayProduct.jsp?sku=16F7295,Newark,
Tact switch For keyboard switches,S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S20 S21 S22 S23 S24 S25 S26 S27,23,TL1100F160Q standard 12mm tact switch,E-Switch http://www.e-switch.com/pdf/TL1100.pdf,,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=EG1821-ND,,,
2K (202) trim potentiometer,TM6,1,,Vishay http://www.vishay.com/docs/58000/ct20.pdf,CT6EP202 Any ceramic trim-pot with the same pinout is OK,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=CT6EP202-ND,,,
5K (502) trim potentiometer,TM5,1,,Vishay http://www.vishay.com/docs/58000/ct20.pdf,CT6EP502 Any ceramic trim-pot with the same pinout is OK,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=CT6EP502-ND,,,
50K (503) trim potentiometer,TM4,1,,Vishay http://www.vishay.com/docs/58000/ct20.pdf,CT6EP503 Any ceramic trim-pot with the same pinout is OK,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=CT6EP503-ND,,,
500K (504) trim potentiometer,TM3,1,,Vishay http://www.vishay.com/docs/58000/ct20.pdf,CT6EP504 Any ceramic trim-pot with the same pinout is OK,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=CT6EP504-ND,,,
50K D (log) potentiometer,VR3 VR5 VR8,3,EVU-F2LFL3D54,Panasonic http://panasonic.com/industrial/components/pdf/AOK0000CE4.pdf,,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=P3L2503-ND,,,
50K B (linear) potentiometer,VR2 VR7,2,EVU-F2LFL3B54,Panasonic http://panasonic.com/industrial/components/pdf/AOK0000CE4.pdf,,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=P3K1503-ND,,,
50K B (linear) dual potentiometer,VR4,1,RV112BCF-40-25F-B54,Alpha,,http://www.mouser.com/Search/ProductDetail.aspx?qs=B0UqcnvkTvZ34gJdwoXOUQ==,,,
1Meg A (log) dual potentiometer,VR6,1,RV112BCF-40-25F-A16,Alpha ,http://www.mouser.com/search/ProductDetail.aspx?R=317-2102F-1M,Mouser,http://www.newark.com/jsp/displayProduct.jsp?sku=49H6724,,
Switch cap (white),,8,ITT PE/WHT,http://www.ittcannon.com/media/pdf/catalogs/Leaf/PNpush_9aug.pdf,,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=401-1155-ND,,,
Switch cap (black),,15,ITT PE/BLK,http://www.ittcannon.com/media/pdf/catalogs/Leaf/PNpush_9aug.pdf,,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail?name=401-1152-ND,Digikey http://www.newark.com/jsp/displayProduct.jsp?sku=49H6721,Newark,
Potentiometer knob,VR2' VR3' VR4' VR5' VR6' VR7' VR8' S2',8,,Eagle Plastic Devices http://www.mouser.com/catalog/specsheets/EPD-200219.pdf,Soft Touch Knob,http://www.mouser.com/search/ProductDetail.aspx?R=450-4760virtualkey56100000virtualkey450-4760,,,
Switch knob,S3' S4',2,1510AH,Davies http://www.alliedelec.com/Images/Products/Datasheets/BM/DAVIES_MOLDING_CO/Davies-Molding-Co_Enclosure-and-Cooling_5431510.pdf,,http://www.mouser.com/Search/ProductDetail.aspx?R=1510AHvirtualkey51200000virtualkey5164-1510AH,Mouser http://alliedelec.com/Search/ProductDetail.asp?SKU=543-1510&MPN=1510AH,Allied ,
15/32 x 1/4 x 4-40 standoff,,3,,Generic,http://www.mcmaster.com/itm/find.ASP?tab=find&context=psrchDtlLink&fasttrack=False&searchstring=91780A435,McMaster,,,
3/8 x 1/4 x 4-40 standoff,,4,,Generic,http://www.mcmaster.com/itm/find.ASP?tab=find&context=psrchDtlLink&fasttrack=False&searchstring=91780A163,McMaster,,,
4-40 lock washer,,7,,Generic,http://www.mcmaster.com/itm/find.ASP?tab=find&context=psrchDtlLink&fasttrack=False&searchstring=98438A210,McMaster,,,
4-40 washer,,4,,Generic,http://www.mcmaster.com/itm/find.ASP?tab=find&context=psrchDtlLink&fasttrack=False&searchstring=92141A005,McMaster,,,
4-40 x 1/4 hex button,,7,,Generic,http://www.mcmaster.com/itm/find.ASP?tab=find&context=psrchDtlLink&fasttrack=False&searchstring=92949A107,McMaster,,,
4-40 x 1/4 phillips button,,7,,Generic,http://www.mcmaster.com/itm/find.ASP?tab=find&context=psrchDtlLink&fasttrack=False&searchstring=90272a106,McMaster,,,
4-40 x 1/2 phillips cheesehead/fillister,,4,,Comes with case,http://www.mcmaster.com/itm/find.ASP?tab=find&context=psrchDtlLink&fasttrack=False&searchstring=91737A084,McMaster,,,
Rubber feet,,4,,Comes with case,,,,,
